['01', '13', '26', '15', '33', '17', '13']
['15', '24', '26', '30', '09', '08', '06']
['04', '28', '21', '15', '29', '27', '10']
['23', '05', '20', '17', '21', '33', '04']
['29', '15', '20', '16', '27', '07', '07']
['28', '27', '19', '23', '31', '20', '01']
['31', '19', '14', '23', '20', '24', '09']
['18', '01', '03', '22', '32', '29', '02']
['31', '19', '15', '14', '06', '29', '05']
['04', '12', '28', '18', '05', '15', '07']
['04', '22', '12', '16', '05', '30', '15']
['12', '08', '18', '07', '13', '01', '05']
['10', '29', '28', '11', '03', '09', '13']
['02', '18', '31', '06', '20', '14', '13']
['05', '33', '21', '27', '17', '03', '04']
['14', '06', '33', '17', '18', '31', '06']
['02', '15', '12', '24', '27', '10', '08']
['24', '27', '06', '14', '04', '08', '02']
['30', '10', '27', '07', '22', '04', '02']
['05', '28', '25', '21', '06', '33', '07']
['23', '22', '20', '17', '26', '28', '06']
['32', '10', '13', '24', '15', '31', '02']
['10', '26', '20', '17', '03', '02', '16']
['26', '32', '15', '11', '24', '18', '09']
['25', '30', '02', '19', '17', '03', '01']
['30', '07', '04', '14', '31', '01', '03']
['10', '22', '15', '32', '14', '27', '09']
['07', '01', '17', '20', '28', '22', '15']
['29', '30', '13', '10', '15', '25', '15']
['24', '05', '15', '09', '27', '30', '09']
['12', '04', '02', '29', '31', '22', '01']
['09', '07', '14', '12', '29', '13', '16']
['18', '17', '09', '20', '27', '11', '15']
['10', '26', '32', '13', '18', '01', '05']
['03', '25', '11', '13', '12', '28', '12']
['07', '26', '14', '15', '01', '11', '11']
['27', '28', '17', '24', '12', '08', '13']
['25', '11', '33', '09', '28', '24', '15']
['23', '11', '33', '05', '28', '15', '03']
['31', '02', '07', '10', '12', '08', '03']
['06', '16', '04', '26', '33', '24', '16']
['12', '27', '14', '28', '05', '06', '08']
['07', '01', '24', '23', '02', '13', '12']
['04', '12', '26', '15', '19', '16', '06']
['19', '23', '16', '24', '13', '02', '04']
['29', '06', '10', '14', '08', '28', '01']
['14', '05', '07', '06', '20', '11', '02']
['05', '21', '07', '28', '11', '09', '01']
['25', '04', '28', '09', '33', '11', '04']
['32', '13', '03', '06', '26', '11', '05']
['05', '03', '01', '18', '22', '23', '01']
['05', '08', '23', '29', '24', '22', '09']
['10', '01', '29', '03', '28', '24', '13']
['15', '27', '04', '26', '31', '06', '12']
['27', '17', '30', '08', '25', '15', '10']
['30', '21', '32', '09', '23', '03', '06']
['15', '21', '16', '12', '29', '22', '01']
['09', '25', '04', '27', '05', '14', '07']
['25', '06', '22', '01', '18', '24', '08']
['15', '21', '01', '16', '19', '09', '15']
['31', '32', '33', '01', '07', '24', '08']
['11', '29', '01', '15', '05', '16', '15']
['26', '11', '06', '23', '20', '18', '05']
['14', '04', '18', '31', '32', '24', '15']
['19', '23', '25', '11', '01', '29', '09']
['06', '30', '26', '33', '02', '19', '15']
['33', '08', '01', '29', '19', '04', '16']
['18', '04', '06', '08', '15', '16', '16']
['24', '06', '23', '04', '05', '09', '09']
['12', '25', '20', '15', '22', '13', '10']
['09', '04', '20', '23', '18', '12', '01']
['20', '11', '29', '10', '17', '30', '15']
['33', '09', '18', '11', '01', '32', '14']
['11', '13', '28', '19', '09', '18', '14']
['06', '05', '17', '25', '33', '09', '16']
['08', '29', '21', '32', '23', '22', '01']
['12', '03', '11', '28', '16', '22', '10']
['13', '22', '07', '31', '21', '24', '02']
['07', '16', '33', '14', '10', '24', '16']
['04', '30', '03', '06', '21', '19', '14']
['08', '29', '10', '19', '09', '27', '15']
['02', '16', '09', '25', '10', '28', '08']
['04', '25', '32', '13', '22', '11', '01']
['22', '04', '32', '15', '17', '29', '03']
['13', '03', '29', '16', '24', '07', '01']
['09', '13', '05', '28', '21', '33', '06']
['15', '14', '04', '17', '32', '01', '02']
['17', '07', '26', '28', '05', '14', '13']
['17', '24', '18', '23', '02', '03', '01']
['05', '27', '22', '10', '09', '25', '08']
['32', '18', '09', '02', '23', '26', '14']
['02', '07', '06', '24', '28', '29', '16']
['21', '24', '31', '02', '29', '08', '13']
['07', '09', '05', '27', '16', '18', '06']
['24', '13', '26', '19', '30', '17', '12']
['01', '26', '02', '11', '21', '06', '11']
['26', '14', '20', '18', '28', '12', '11']
['18', '12', '23', '25', '04', '10', '01']
['33', '12', '31', '02', '13', '14', '06']
['30', '05', '16', '01', '15', '08', '03']
['28', '11', '06', '31', '25', '21', '07']
['29', '13', '27', '08', '31', '09', '05']
['08', '15', '30', '22', '17', '10', '12']
['23', '27', '26', '16', '11', '33', '05']
['05', '07', '16', '20', '09', '26', '08']
['20', '19', '05', '03', '13', '25', '03']
['17', '18', '14', '08', '06', '30', '11']
['06', '04', '10', '11', '18', '01', '02']
['21', '22', '27', '23', '02', '28', '11']
['32', '10', '31', '25', '15', '17', '06']
['17', '28', '04', '24', '08', '33', '13']
['09', '03', '01', '11', '07', '06', '02']
['12', '29', '17', '24', '16', '28', '08']
['32', '25', '02', '08', '14', '23', '06']
['09', '33', '15', '18', '32', '29', '02']
['08', '03', '18', '15', '13', '09', '10']
['14', '06', '29', '26', '16', '28', '07']
['04', '25', '29', '21', '33', '15', '06']
['27', '06', '09', '31', '12', '16', '06']
['26', '18', '06', '20', '14', '03', '01']
['23', '33', '16', '27', '05', '10', '14']
['33', '11', '01', '19', '04', '32', '05']
['02', '04', '25', '32', '24', '07', '13']
['07', '14', '18', '01', '33', '05', '07']
['02', '04', '25', '12', '32', '21', '16']
['22', '25', '26', '06', '24', '08', '01']
['14', '07', '09', '30', '26', '31', '04']
['08', '02', '07', '22', '03', '17', '15']
['22', '16', '29', '06', '18', '09', '11']
['10', '32', '25', '06', '26', '13', '11']
['13', '18', '02', '20', '03', '31', '11']
['09', '10', '22', '02', '20', '26', '01']
['23', '03', '27', '19', '22', '29', '07']
['12', '14', '01', '23', '11', '04', '04']
['19', '08', '22', '30', '27', '26', '07']
['09', '11', '14', '08', '29', '17', '16']
['15', '01', '02', '33', '28', '05', '04']
['23', '16', '26', '08', '15', '10', '10']
['01', '26', '18', '19', '04', '31', '07']
['14', '07', '28', '23', '03', '12', '11']
['30', '12', '16', '26', '05', '31', '13']
['33', '29', '19', '20', '18', '16', '12']
['19', '29', '18', '26', '01', '03', '03']
['26', '17', '12', '24', '31', '15', '15']
['04', '02', '21', '06', '25', '29', '03']
['10', '04', '02', '03', '01', '09', '12']
['33', '01', '28', '09', '22', '32', '15']
['26', '11', '30', '19', '13', '33', '05']
['09', '16', '07', '10', '08', '27', '07']
['05', '06', '27', '14', '16', '19', '10']
['20', '32', '25', '12', '04', '01', '02']
['24', '30', '32', '01', '05', '11', '03']
['22', '32', '07', '03', '10', '01', '11']
['02', '28', '12', '32', '09', '17', '05']
['17', '06', '22', '24', '26', '09', '16']
['25', '14', '06', '02', '22', '09', '04']
['06', '13', '16', '20', '23', '32', '13']
['32', '15', '17', '12', '10', '23', '05']
['03', '09', '11', '25', '24', '28', '16']
['15', '04', '02', '28', '18', '11', '10']
['19', '06', '20', '24', '14', '22', '01']
['04', '10', '27', '16', '08', '29', '09']
['09', '32', '04', '22', '28', '10', '08']
['29', '09', '25', '10', '19', '26', '08']
['28', '25', '10', '17', '24', '30', '15']
['07', '15', '01', '16', '23', '20', '07']
['05', '06', '30', '15', '12', '11', '12']
['06', '33', '08', '11', '25', '22', '02']
['08', '30', '26', '25', '21', '02', '10']
['26', '27', '20', '32', '23', '01', '15']
['26', '09', '03', '17', '20', '16', '02']
['31', '29', '17', '27', '10', '15', '08']
['04', '19', '15', '10', '05', '13', '15']
['18', '12', '01', '24', '06', '22', '03']
['19', '11', '12', '09', '16', '01', '16']
['31', '26', '23', '02', '32', '21', '06']
['21', '30', '16', '02', '29', '14', '10']
['26', '12', '29', '01', '30', '06', '12']
['33', '23', '15', '20', '25', '11', '10']
['24', '02', '27', '06', '15', '04', '06']
['19', '01', '24', '02', '09', '05', '16']
['07', '03', '17', '16', '23', '30', '07']
['01', '31', '26', '30', '19', '25', '12']
['11', '30', '21', '17', '02', '08', '09']
['01', '13', '14', '05', '27', '33', '15']
['18', '33', '31', '14', '15', '22', '01']
['20', '21', '12', '22', '29', '05', '14']
['16', '11', '21', '32', '14', '03', '04']
['03', '21', '27', '25', '10', '16', '12']
['10', '18', '27', '16', '15', '20', '06']
['30', '11', '13', '03', '20', '24', '16']
['04', '19', '09', '33', '08', '13', '12']
['29', '05', '13', '07', '27', '11', '03']
['10', '26', '17', '15', '06', '08', '04']
['12', '09', '22', '23', '11', '13', '08']
['04', '21', '02', '01', '06', '19', '15']
['03', '09', '13', '18', '10', '26', '04']
['26', '12', '32', '21', '16', '27', '10']
['23', '04', '30', '09', '07', '27', '08']
['17', '26', '28', '09', '13', '02', '07']
['23', '21', '15', '26', '09', '18', '08']
['03', '32', '21', '01', '27', '07', '01']
['29', '15', '12', '22', '16', '32', '14']
['22', '17', '10', '26', '27', '14', '05']
['27', '31', '24', '26', '17', '08', '04']
['05', '14', '09', '24', '30', '20', '08']
['10', '25', '17', '04', '02', '22', '14']
['11', '01', '03', '12', '26', '19', '07']
['14', '26', '23', '09', '21', '32', '03']
['31', '08', '05', '02', '12', '26', '14']
['05', '23', '07', '01', '28', '30', '12']
['31', '25', '03', '26', '10', '19', '02']
['14', '16', '32', '15', '33', '02', '01']
['29', '13', '33', '02', '32', '08', '15']
['03', '08', '06', '28', '11', '19', '08']
['09', '04', '32', '17', '20', '33', '15']
['22', '01', '12', '18', '09', '07', '04']
['30', '32', '23', '18', '14', '12', '02']
['32', '10', '28', '19', '17', '04', '01']
['26', '32', '27', '13', '25', '19', '08']
['33', '02', '03', '22', '21', '15', '16']
['08', '24', '17', '07', '16', '19', '07']
['24', '30', '01', '11', '25', '27', '07']
['07', '02', '31', '11', '14', '06', '03']
['22', '07', '25', '06', '24', '16', '13']
['19', '12', '06', '21', '16', '01', '04']
['29', '02', '16', '10', '09', '11', '02']
['24', '01', '18', '23', '06', '07', '15']
['01', '17', '24', '04', '13', '11', '15']
['22', '32', '09', '07', '16', '24', '06']
['14', '25', '33', '28', '10', '24', '11']
['32', '08', '16', '26', '02', '15', '03']
['12', '07', '10', '32', '21', '31', '01']
['15', '13', '14', '03', '11', '26', '13']
['09', '16', '05', '15', '02', '27', '09']
['18', '30', '29', '17', '21', '32', '03']
['12', '01', '18', '20', '30', '32', '05']
['32', '15', '05', '06', '18', '26', '08']
['25', '14', '24', '12', '28', '13', '06']
['31', '19', '01', '09', '04', '18', '06']
['15', '20', '29', '01', '09', '10', '02']
['10', '28', '13', '27', '31', '29', '08']
['30', '33', '04', '20', '05', '21', '08']
['10', '20', '02', '22', '25', '30', '02']
['16', '27', '02', '14', '31', '06', '07']
['13', '01', '09', '06', '15', '22', '14']
['28', '19', '27', '33', '30', '15', '03']
['07', '05', '11', '17', '22', '08', '13']
['07', '27', '15', '04', '20', '02', '04']
['17', '08', '24', '06', '05', '27', '07']
['09', '08', '30', '22', '24', '33', '01']
['12', '02', '08', '10', '07', '16', '07']
['08', '20', '30', '02', '21', '10', '14']
['31', '14', '23', '04', '26', '13', '09']
['07', '05', '04', '29', '17', '18', '01']
['14', '22', '32', '11', '31', '27', '09']
['08', '06', '14', '19', '26', '03', '12']
['10', '01', '11', '06', '28', '04', '16']
['17', '25', '20', '12', '31', '05', '10']
['10', '04', '05', '16', '03', '32', '09']
['22', '11', '26', '32', '16', '17', '04']
['27', '15', '02', '32', '17', '33', '03']
['09', '30', '32', '17', '26', '29', '03']
['29', '15', '14', '04', '16', '09', '11']
['15', '26', '02', '29', '30', '23', '02']
['18', '02', '26', '06', '09', '24', '14']
['22', '02', '14', '27', '29', '09', '02']
['06', '27', '28', '31', '01', '33', '07']
['26', '10', '09', '13', '27', '20', '08']
['23', '12', '27', '01', '14', '09', '12']
['12', '10', '01', '30', '04', '32', '14']
['13', '08', '17', '01', '18', '19', '16']
['02', '30', '19', '15', '12', '27', '03']
['32', '13', '05', '26', '15', '16', '09']
['24', '27', '29', '08', '33', '14', '09']
['33', '17', '13', '15', '10', '14', '14']
['11', '09', '04', '22', '02', '14', '05']
['33', '08', '20', '23', '30', '14', '11']
['06', '32', '31', '30', '02', '12', '11']
['31', '23', '07', '10', '19', '13', '06']
['29', '33', '15', '12', '17', '14', '12']
['27', '06', '11', '10', '33', '03', '03']
['30', '22', '06', '01', '04', '29', '03']
['07', '03', '16', '24', '31', '21', '07']
['19', '04', '11', '06', '14', '33', '07']
['24', '09', '31', '17', '19', '20', '04']
['09', '32', '11', '01', '24', '07', '16']
['15', '03', '04', '07', '26', '09', '07']
['16', '03', '12', '17', '08', '19', '08']
['02', '07', '24', '12', '17', '06', '10']
['14', '17', '33', '02', '29', '32', '16']
['29', '27', '02', '12', '26', '11', '03']
['32', '09', '31', '33', '04', '30', '01']
['06', '17', '02', '28', '08', '30', '06']
['04', '21', '19', '10', '15', '23', '02']
['31', '21', '02', '30', '06', '15', '02']
['31', '10', '32', '33', '12', '27', '03']
['04', '22', '26', '24', '20', '33', '07']
['15', '25', '12', '31', '28', '14', '04']
['05', '33', '11', '28', '03', '32', '01']
['33', '09', '13', '08', '16', '01', '01']
['11', '14', '29', '15', '10', '04', '05']
['11', '12', '30', '09', '04', '02', '01']
['01', '25', '33', '19', '05', '21', '15']
['03', '17', '23', '14', '27', '12', '01']
['22', '24', '20', '33', '07', '18', '01']
['28', '26', '18', '22', '01', '27', '08']
['28', '07', '06', '17', '31', '03', '10']
['19', '32', '13', '25', '22', '07', '13']
['06', '08', '02', '32', '23', '27', '02']
['22', '14', '33', '30', '27', '02', '14']
['17', '33', '26', '13', '15', '02', '01']
['24', '01', '16', '05', '17', '18', '10']
['21', '27', '14', '04', '29', '12', '12']
['03', '32', '16', '08', '20', '12', '12']
['21', '31', '01', '09', '04', '33', '05']
['01', '30', '32', '04', '13', '12', '08']
['22', '23', '30', '14', '27', '07', '08']
['14', '11', '03', '12', '17', '26', '09']
['18', '03', '25', '05', '31', '24', '09']
['27', '18', '07', '05', '12', '32', '11']
['14', '28', '02', '05', '19', '21', '01']
['10', '27', '12', '05', '19', '18', '06']
['22', '08', '05', '20', '09', '07', '02']
['33', '27', '32', '09', '28', '17', '08']
['24', '21', '32', '10', '29', '07', '11']
['08', '02', '06', '14', '03', '22', '04']
['02', '14', '20', '04', '16', '22', '11']
['21', '29', '14', '15', '23', '13', '13']
['07', '21', '30', '04', '09', '05', '04']
['26', '31', '22', '24', '28', '16', '06']
['01', '04', '18', '29', '24', '14', '04']
['04', '27', '14', '20', '08', '18', '03']
['06', '31', '15', '28', '26', '17', '03']
['19', '28', '22', '07', '16', '24', '02']
['27', '32', '05', '31', '24', '29', '10']
['03', '06', '08', '32', '24', '20', '07']
['01', '31', '09', '03', '19', '06', '16']
['01', '29', '27', '33', '31', '17', '12']
['22', '11', '18', '13', '21', '09', '15']
['12', '20', '15', '29', '32', '19', '14']
['33', '20', '05', '08', '31', '22', '03']
['33', '29', '21', '12', '31', '27', '04']
['12', '18', '16', '01', '02', '06', '08']
['13', '09', '22', '30', '15', '02', '15']
['29', '08', '01', '24', '19', '30', '04']
['18', '15', '19', '32', '24', '06', '09']
['21', '11', '06', '25', '19', '16', '01']
['20', '26', '33', '24', '03', '14', '10']
['04', '08', '33', '06', '30', '11', '11']
['14', '20', '17', '22', '01', '32', '04']
['06', '15', '26', '20', '11', '09', '10']
['25', '20', '33', '12', '24', '30', '12']
['01', '14', '29', '22', '31', '19', '16']
['30', '07', '26', '16', '23', '13', '01']
['27', '17', '19', '24', '03', '31', '12']
['14', '20', '03', '27', '23', '04', '01']
['09', '05', '18', '16', '04', '07', '06']
['07', '12', '08', '27', '21', '23', '12']
['18', '04', '13', '05', '06', '08', '16']
['19', '21', '14', '13', '17', '29', '01']
['31', '06', '01', '19', '15', '11', '10']
['15', '26', '07', '10', '24', '11', '11']
['22', '31', '16', '04', '25', '29', '08']
['09', '03', '16', '19', '06', '13', '16']
['10', '15', '09', '28', '08', '13', '09']
['04', '10', '11', '21', '06', '23', '02']
['23', '13', '03', '28', '22', '10', '15']
['29', '18', '03', '07', '10', '12', '10']
['18', '25', '03', '11', '30', '33', '14']
['02', '16', '12', '32', '25', '22', '06']
['31', '01', '27', '06', '17', '19', '14']
['23', '16', '17', '29', '14', '06', '07']
['01', '13', '32', '06', '12', '24', '13']
['22', '25', '26', '15', '19', '17', '04']
['26', '13', '02', '24', '09', '23', '16']
['23', '05', '09', '18', '31', '06', '11']
['07', '27', '11', '32', '06', '14', '08']
['21', '30', '12', '09', '27', '29', '05']
['18', '01', '14', '25', '07', '12', '10']
['23', '10', '13', '02', '32', '16', '08']
['01', '09', '05', '20', '10', '07', '16']
['11', '09', '26', '24', '22', '15', '03']
['15', '21', '29', '23', '19', '09', '15']
['13', '08', '33', '28', '09', '04', '04']
['18', '21', '15', '13', '03', '33', '16']
['10', '04', '22', '05', '12', '07', '16']
['32', '17', '33', '23', '08', '11', '10']
['29', '30', '26', '04', '22', '19', '11']
['06', '10', '11', '08', '02', '17', '13']
['27', '03', '19', '13', '15', '20', '14']
['21', '33', '15', '16', '27', '30', '04']
['23', '29', '28', '08', '25', '01', '10']
['10', '31', '14', '01', '15', '18', '13']
['30', '21', '33', '03', '11', '07', '07']
['08', '05', '07', '27', '02', '20', '04']
['12', '02', '27', '28', '13', '23', '12']
['11', '25', '03', '17', '18', '24', '06']
['19', '32', '18', '04', '26', '11', '04']
['24', '05', '04', '30', '28', '33', '09']
['11', '05', '09', '07', '25', '19', '05']
['15', '31', '24', '20', '16', '11', '04']
['19', '14', '01', '02', '33', '03', '03']
['05', '07', '16', '18', '21', '14', '01']
['33', '07', '23', '31', '10', '21', '14']
['19', '13', '30', '10', '24', '21', '07']
['11', '08', '02', '30', '05', '04', '02']
['22', '31', '01', '10', '07', '32', '15']
['28', '32', '13', '02', '06', '09', '12']
['15', '23', '06', '14', '10', '19', '15']
['01', '10', '19', '26', '28', '05', '12']
['28', '22', '31', '32', '21', '26', '07']
['08', '26', '32', '16', '12', '19', '03']
['20', '21', '22', '17', '13', '27', '01']
['18', '06', '04', '08', '05', '09', '11']
['32', '33', '13', '15', '06', '10', '15']
['17', '07', '23', '25', '01', '31', '11']
['14', '04', '23', '29', '16', '28', '03']
['19', '29', '26', '15', '05', '25', '15']
['15', '31', '19', '08', '20', '06', '05']
['01', '08', '07', '24', '10', '12', '01']
['18', '21', '19', '03', '06', '31', '01']
['30', '03', '27', '23', '17', '15', '11']
['17', '10', '29', '18', '11', '02', '16']
['23', '25', '22', '03', '13', '09', '06']
['13', '20', '27', '17', '08', '18', '13']
['32', '28', '04', '15', '06', '33', '14']
['05', '11', '28', '10', '08', '27', '11']
['18', '16', '14', '33', '11', '24', '04']
['25', '15', '22', '28', '20', '01', '14']
['23', '32', '31', '20', '11', '18', '15']
['32', '25', '10', '01', '30', '27', '09']
['23', '20', '11', '15', '05', '03', '09']
['15', '26', '10', '12', '25', '27', '14']
['01', '29', '06', '10', '03', '11', '16']
['31', '03', '33', '32', '16', '18', '12']
['12', '18', '11', '04', '32', '02', '13']
['15', '09', '01', '10', '02', '22', '06']
['33', '31', '21', '22', '24', '32', '01']
['05', '24', '28', '12', '17', '18', '12']
['04', '18', '19', '06', '02', '16', '16']
['08', '07', '06', '23', '19', '22', '02']
['05', '11', '07', '15', '02', '06', '12']
['14', '09', '22', '06', '08', '01', '05']
['11', '32', '03', '14', '10', '15', '02']
['09', '13', '22', '19', '14', '25', '02']
['27', '31', '13', '21', '24', '32', '01']
['32', '05', '30', '22', '20', '07', '10']
['25', '14', '19', '06', '23', '08', '11']
['33', '04', '03', '26', '27', '18', '01']
['25', '16', '13', '03', '27', '14', '12']
['31', '08', '22', '12', '27', '21', '09']
['08', '15', '17', '25', '23', '11', '05']
['17', '22', '05', '14', '23', '28', '15']
['26', '01', '24', '29', '13', '19', '11']
['01', '16', '20', '15', '07', '27', '14']
['09', '16', '01', '06', '26', '25', '09']
['18', '26', '08', '31', '25', '05', '04']
['14', '24', '28', '07', '01', '25', '08']
['11', '13', '23', '21', '22', '16', '02']
['31', '23', '11', '10', '33', '18', '15']
['26', '30', '13', '05', '18', '21', '02']
['12', '20', '02', '01', '22', '05', '01']
['19', '18', '26', '24', '04', '25', '10']
['25', '13', '18', '04', '05', '19', '01']
['25', '06', '03', '02', '29', '19', '01']
['22', '15', '23', '02', '09', '24', '16']
['21', '06', '11', '28', '02', '19', '05']
['29', '33', '01', '03', '14', '26', '09']
['02', '15', '29', '14', '11', '33', '02']
['03', '32', '14', '08', '07', '25', '06']
['11', '10', '29', '32', '20', '06', '13']
['25', '17', '28', '02', '01', '20', '13']
['32', '05', '28', '09', '01', '20', '12']
['26', '12', '21', '10', '33', '11', '09']
['07', '30', '16', '20', '24', '04', '05']
['21', '18', '29', '33', '04', '20', '07']
['10', '19', '16', '06', '24', '33', '16']
['13', '25', '06', '11', '32', '17', '07']
['04', '10', '01', '23', '02', '14', '07']
['06', '27', '18', '12', '09', '14', '14']
['29', '30', '03', '12', '05', '32', '14']
['01', '31', '05', '18', '16', '10', '03']
['21', '07', '23', '17', '02', '26', '16']
['10', '30', '04', '26', '33', '25', '06']
['06', '22', '24', '08', '12', '05', '03']
['33', '04', '32', '18', '09', '21', '03']
['20', '22', '14', '24', '12', '06', '09']
['26', '02', '20', '12', '16', '01', '03']
['33', '20', '04', '13', '07', '29', '03']
